City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max_temp,Wind_speed
Zhezkazgan,90,KZ,1547605800,92,47.8,67.71,24.8,2.0
Chinsali,92,ZM,1547606999,98,-10.55,32.07,62.67200000000004,1.61
Sitka,0,US,1547606999,73,37.17,-99.65,31.082000000000015,1.76
Tambilil,40,PH,1547604000,75,5.96,124.67,89.6,5.1
Ajdabiya,48,LY,1547606999,77,30.75,20.22,47.73200000000001,3.26
Nemuro,75,JP,1547604420,68,43.32,145.57,30.2,4.1
Virginia Beach,1,US,1547605800,92,36.85,-75.98,33.98000000000004,1.31
Hay River,90,CA,1547604000,75,60.82,-115.79,-12.99999999999995,2.1
Saskylakh,20,RU,1547607000,0,71.97,114.09,-32.187999999999946,8.16
Turayf,0,SA,1547604000,86,31.68,38.65,33.8,2.1
Prince Rupert,1,CA,1547604000,93,54.32,-130.32,39.2,3.1
Khani,75,GE,1547605800,34,41.96,42.96,53.6,7.7
Bonthe,0,SL,1547607001,84,7.53,-12.5,79.68200000000002,2.66
Prainha,56,BR,1547607001,99,-1.8,-53.48,74.642,1.61
Klaksvik,92,FO,1547605200,100,62.23,-6.59,35.6,2.6
Pitimbu,0,BR,1547604000,88,-7.47,-34.81,77.0,2.6
Launceston,12,AU,1547604000,39,-41.43,147.14,80.6,8.2
Farafangana,24,MG,1547607002,100,-22.82,47.83,79.41200000000006,1.41
Antofagasta,20,CL,1547604000,72,-23.65,-70.4,64.4,3.6
Puerto Narino,75,CO,1547604000,100,-3.77,-70.38,77.0,2.1
Hambantota,75,LK,1547604600,100,6.12,81.12,77.0,1.0
Huarmey,36,PE,1547607003,83,-10.07,-78.15,67.80200000000008,1.76
Napier,92,NZ,1547606954,100,-39.49,176.92,64.83200000000002,5.01
Gasa,0,BT,1547607004,21,27.91,89.73,-12.477999999999966,0.26
Zlonice,75,CZ,1547604000,86,50.29,14.09,39.2,7.7
Manosque,0,FR,1547604000,69,43.83,5.78,35.6,1.0
Bandarbeyla,88,SO,1547607004,100,9.49,50.81,74.37200000000004,5.81
Port Hedland,0,AU,1547604000,35,-20.31,118.58,98.6,3.1
Acapulco,5,MX,1547603220,69,16.86,-99.88,80.6,1.5
